"isco68","isco88","n","N","prop"
"01","21",7,8,0.875
"01","31",1,8,0.125
"02","21",10,10,1
"03","31",12,13,0.923076923076923
"03","21",1,13,0.0769230769230769
"04","31",8,8,1
"05","22",7,11,0.636363636363636
"05","32",4,11,0.363636363636364
"06","22",7,12,0.583333333333333
"06","32",5,12,0.416666666666667
"07","32",14,22,0.636363636363636
"07","22",7,22,0.318181818181818
"07","31",1,22,0.0454545454545455
"08","21",5,6,0.833333333333333
"08","34",1,6,0.166666666666667
"09","24",1,1,1
"11","24",3,3,1
"12","24",11,11,1
"13","23",12,16,0.75
"13","12",3,16,0.1875
"13","33",1,16,0.0625
"14","24",7,12,0.583333333333333
"14","34",4,12,0.333333333333333
"14","32",1,12,0.0833333333333333
"15","24",9,9,1
"16","34",4,9,0.444444444444444
"16","31",3,9,0.333333333333333
"16","24",2,9,0.222222222222222
"17","34",10,19,0.526315789473684
"17","24",7,19,0.368421052631579
"17","12",2,19,0.105263157894737
"18","34",3,3,1
"19","24",15,25,0.6
"19","34",4,25,0.16
"19","51",2,25,0.08
"19","12",1,25,0.04
"19","20",1,25,0.04
"19","31",1,25,0.04
"19","33",1,25,0.04
"20","11",21,21,1
"21","12",15,21,0.714285714285714
"21","11",3,21,0.142857142857143
"21","13",3,21,0.142857142857143
"30","12",2,2,1
"31","34",6,6,1
"32","41",5,5,1
"33","42",6,11,0.545454545454545
"33","34",3,11,0.272727272727273
"33","41",2,11,0.181818181818182
"34","31",2,3,0.666666666666667
"34","41",1,3,0.333333333333333
"35","12",2,4,0.5
"35","41",2,4,0.5
"36","51",4,4,1
"37","41",2,3,0.666666666666667
"37","91",1,3,0.333333333333333
"38","31",2,4,0.5
"38","42",2,4,0.5
"39","41",16,23,0.695652173913043
"39","42",3,23,0.130434782608696
"39","34",2,23,0.0869565217391304
"39","11",1,23,0.0434782608695652
"39","91",1,23,0.0434782608695652
"40","13",3,4,0.75
"40","12",1,4,0.25
"41","13",3,10,0.3
"41","34",3,10,0.3
"41","12",2,10,0.2
"41","52",1,10,0.1
"41","93",1,10,0.1
"42","34",4,6,0.666666666666667
"42","12",2,6,0.333333333333333
"43","34",5,5,1
"44","34",9,9,1
"45","52",8,14,0.571428571428571
"45","91",6,14,0.428571428571429
"49","52",1,1,1
"50","12",2,4,0.5
"50","13",2,4,0.5
"51","13",6,7,0.857142857142857
"51","50",1,7,0.142857142857143
"52","51",3,3,1
"53","51",8,9,0.888888888888889
"53","91",1,9,0.111111111111111
"54","91",3,5,0.6
"54","51",2,5,0.4
"55","91",8,9,0.888888888888889
"55","71",1,9,0.111111111111111
"56","82",1,1,1
"57","51",5,5,1
"58","51",8,15,0.533333333333333
"58","12",3,15,0.2
"58","34",3,15,0.2
"58","91",1,15,0.0666666666666667
"59","51",6,13,0.461538461538462
"59","91",6,13,0.461538461538462
"59","42",1,13,0.0769230769230769
"60","13",2,3,0.666666666666667
"60","61",1,3,0.333333333333333
"61","61",8,11,0.727272727272727
"61","13",1,11,0.0909090909090909
"61","62",1,11,0.0909090909090909
"61","92",1,11,0.0909090909090909
"62","92",15,17,0.882352941176471
"62","61",1,17,0.0588235294117647
"62","83",1,17,0.0588235294117647
"63","61",4,6,0.666666666666667
"63","91",1,6,0.166666666666667
"63","92",1,6,0.166666666666667
"64","61",6,7,0.857142857142857
"64","92",1,7,0.142857142857143
"70","75",3,3,1
"71","71",6,9,0.666666666666667
"71","81",3,9,0.333333333333333
"72","81",7,10,0.7
"72","72",2,10,0.2
"72","82",1,10,0.1
"73","81",6,7,0.857142857142857
"73","74",1,7,0.142857142857143
"74","81",8,9,0.888888888888889
"74","61",1,9,0.111111111111111
"75","82",8,10,0.8
"75","74",2,10,0.2
"76","74",3,3,1
"77","82",11,17,0.647058823529412
"77","74",6,17,0.352941176470588
"78","82",5,5,1
"79","74",9,10,0.9
"79","82",1,10,0.1
"80","74",4,4,1
"81","74",5,6,0.833333333333333
"81","82",1,6,0.166666666666667
"82","71",1,1,1
"83","72",13,16,0.8125
"83","82",3,16,0.1875
"84","72",12,19,0.631578947368421
"84","73",4,19,0.210526315789474
"84","82",2,19,0.105263157894737
"84","13",1,19,0.0526315789473684
"85","72",7,11,0.636363636363636
"85","71",3,11,0.272727272727273
"85","82",1,11,0.0909090909090909
"86","31",3,3,1
"87","72",8,11,0.727272727272727
"87","71",3,11,0.272727272727273
"88","73",3,3,1
"89","73",7,9,0.777777777777778
"89","81",2,9,0.222222222222222
"90","82",3,3,1
"91","82",1,1,1
"92","73",9,11,0.818181818181818
"92","82",2,11,0.181818181818182
"93","71",4,5,0.8
"93","72",1,5,0.2
"94","73",5,9,0.555555555555556
"94","74",1,9,0.111111111111111
"94","75",1,9,0.111111111111111
"94","82",1,9,0.111111111111111
"94","84",1,9,0.111111111111111
"95","71",20,21,0.952380952380952
"95","93",1,21,0.0476190476190476
"96","81",3,3,1
"97","83",5,13,0.384615384615385
"97","93",5,13,0.384615384615385
"97","91",2,13,0.153846153846154
"97","72",1,13,0.0769230769230769
"98","83",17,24,0.708333333333333
"98","93",5,24,0.208333333333333
"98","33",1,24,0.0416666666666667
"98","81",1,24,0.0416666666666667
"99","93",8,16,0.5
"99","75",4,16,0.25
"99","82",2,16,0.125
"99","91",2,16,0.125
NA,NA,1,1,1
